"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6680","Successful User Login via API-created user @smoke @regression","chromium","Sat Jul 26 16:13:56 CEST 2025","passed","Sat Jul 26 16:14:03 CEST 2025","","specs/login/login-logout.spec.ts","",""
"","6484","Successful User Registration @smoke @regression","chromium","Sat Jul 26 16:13:56 CEST 2025","passed","Sat Jul 26 16:14:02 CEST 2025","User Registration","specs/signup/registration.spec.ts","",""
"","3697","Verify searching and adding certain product to the Cart @smoke @regression","chromium","Sat Jul 26 16:13:56 CEST 2025","passed","Sat Jul 26 16:14:00 CEST 2025","Search and Add Product","specs/product/search-add-product.spec.ts","",""
"","3360","Should show error message for invalid login credentials @negative @regression","chromium","Sat Jul 26 16:13:56 CEST 2025","passed","Sat Jul 26 16:13:59 CEST 2025","Invalid User Login","specs/login/login-negative.spec.ts","",""
"","3062","Should show error message for already registered email @negative @regression","chromium","Sat Jul 26 16:14:00 CEST 2025","passed","Sat Jul 26 16:14:03 CEST 2025","Signup with Existing User","specs/signup/signup-negative.spec.ts","",""
